HUD frame time nsec:,17719000

Range Index,Elapsed Time, First Event,Last Event
0,6880,1,1
1,10208,19,19
2,736,23,23
3,864,27,27
4,768,31,31
5,2688,35,35
6,11456,39,39
7,6336,43,43
8,14184768,45,45
