HUD frame time nsec:,17389000

Range Index,Elapsed Time, First Event,Last Event
0,6688,1,1
1,2240,19,19
2,608,23,23
3,576,27,27
4,2304,31,31
5,3232,35,35
6,10912,39,39
7,6368,43,43
8,31850592,45,45
