HUD frame time nsec:,17469000

Range Index,Elapsed Time, First Event,Last Event
0,6720,1,1
1,9504,19,19
2,800,23,23
3,608,27,27
4,2336,31,31
5,3072,35,35
6,10304,39,39
7,7104,43,43
8,13364864,45,45
