HUD frame time nsec:,17188000

Range Index,Elapsed Time, First Event,Last Event
0,6656,1,1
1,9248,19,19
2,608,23,23
3,576,27,27
4,3008,31,31
5,14272,35,35
6,640,39,39
7,5632,43,43
8,6645952,45,45
