HUD frame time nsec:,17175000

Range Index,Elapsed Time, First Event,Last Event
0,6784,1,1
1,9696,19,19
2,928,23,23
3,736,27,27
4,1216,31,31
5,2624,35,35
6,11296,39,39
7,6496,43,43
8,14032480,45,45
