HUD frame time nsec:,17451000

Range Index,Elapsed Time, First Event,Last Event
0,6720,1,1
1,2432,19,19
2,608,23,23
3,608,27,27
4,2208,31,31
5,3968,35,35
6,17728,39,39
7,576,43,43
8,32313984,45,45
