HUD frame time nsec:,17189000

Range Index,Elapsed Time, First Event,Last Event
0,6752,1,1
1,10208,19,19
2,1056,23,23
3,1184,27,27
4,1056,31,31
5,1824,35,35
6,9728,39,39
7,8224,43,43
8,15479968,45,45
